q35,q63114,d_age
Sex,NA,27
Love,NA,21
Sex,NA,24
Love,NA,24
Sex,My sex drive is higher than average.,24
NA,NA,23
Love,NA,22
Sex,NA,22
Love,NA,21
Sex,My sex drive is higher than average.,25
Love,NA,19
NA,NA,21
Love,My sex drive is about average.,21
Love,NA,26
NA,My sex drive is about average.,26
Love,NA,23
Love,My sex drive is about average.,NA
Love,NA,30
Sex,My sex drive is about average.,21
Love,My sex drive is higher than average.,30
Love,NA,27
NA,NA,29
Sex,My sex drive is about average.,21
Sex,NA,24
Love,My sex drive is higher than average.,30
NA,My sex drive is below average.,21
NA,My sex drive is about average.,28
Sex,NA,22
NA,NA,46
Sex,NA,25
NA,NA,22
Sex,My sex drive is higher than average.,28
Sex,NA,22
Love,NA,27
Love,NA,30
Love,My sex drive is higher than average.,23
Love,My sex drive is about average.,29
NA,NA,30
Love,My sex drive is higher than average.,23
Love,My sex drive is about average.,27
NA,NA,25
Love,My sex drive is higher than average.,23
Love,NA,27
Love,My sex drive is about average.,25
Love,NA,21
Love,NA,18
NA,NA,22
NA,NA,26
Love,NA,22
NA,NA,28
Love,NA,19
NA,NA,22
NA,NA,25
Sex,NA,19
NA,NA,23
Love,NA,22
Sex,NA,23
NA,My sex drive is higher than average.,18
Love,My sex drive is higher than average.,28
Love,My sex drive is higher than average.,28
NA,NA,27
Sex,NA,21
Love,My sex drive is higher than average.,31
Love,NA,23
NA,NA,22
Love,NA,23
Love,NA,24
NA,My sex drive is higher than average.,21
NA,NA,42
Love,NA,27
Sex,My sex drive is higher than average.,28
Love,NA,25
Love,My sex drive is below average.,25
NA,NA,23
Love,NA,30
Love,My sex drive is about average.,28
NA,NA,23
NA,NA,24
Love,My sex drive is higher than average.,30
Love,My sex drive is about average.,21
NA,My sex drive is higher than average.,21
Sex,I'm insatiable.,21
NA,NA,26
NA,NA,41
Sex,My sex drive is about average.,22
NA,My sex drive is about average.,23
NA,NA,26
Love,NA,24
Love,NA,19
Love,My sex drive is higher than average.,31
Love,NA,23
NA,NA,NA
Love,My sex drive is about average.,27
NA,My sex drive is about average.,21
Love,My sex drive is about average.,30
Love,My sex drive is higher than average.,22
Love,NA,25
Love,My sex drive is about average.,44
Love,NA,28
Love,NA,28
Sex,My sex drive is about average.,27
Sex,NA,31
NA,NA,29
Love,My sex drive is about average.,27
Love,I'm insatiable.,18
Love,My sex drive is about average.,28
Sex,My sex drive is higher than average.,26
NA,NA,20
NA,NA,26
Love,My sex drive is about average.,27
Sex,My sex drive is about average.,29
Love,NA,22
NA,NA,20
Love,NA,24
Sex,NA,22
NA,NA,22
Love,My sex drive is higher than average.,30
Love,My sex drive is about average.,22
Sex,My sex drive is higher than average.,35
NA,NA,23
Sex,My sex drive is higher than average.,23
Love,NA,22
Love,NA,27
Love,My sex drive is higher than average.,30
Sex,My sex drive is higher than average.,27
NA,NA,24
Sex,My sex drive is about average.,21
Sex,NA,23
Sex,NA,34
Love,My sex drive is higher than average.,25
NA,NA,23
Sex,My sex drive is about average.,23
